nid,name,court_name,commission_date,termination_date
632594,Margaret York,"Mccormick, Booth and Gonzalez",2022-09-16,
692877,Gary Rodriguez,Cohen-Brown,2016-07-18,2024-08-14
966736,Andrew Hall,Crawford LLC,2023-10-10,2009-09-28
570677,Jared Mitchell,Powell-Moore,2017-05-25,
975088,Austin Ball,Miller Group,2007-09-27,
996811,Maria Whitaker,"Mcconnell, Dyer and Willis",2010-09-12,
526773,Thomas Pierce,Stewart-Ramos,2015-08-24,
678738,Kaitlin Odom,Bird-Gutierrez,2010-02-25,2011-04-06
515737,Kevin Mckenzie,"Mitchell, Hunter and Lowe",2005-11-06,2021-09-04
322402,Cindy Dillon,Collins-Wood,2001-04-09,2002-03-28
172664,Felicia Wilson,Ali PLC,2009-12-15,2007-06-21
776758,Stephen Kelley,Jones PLC,2009-11-14,2020-03-16
449021,Stephanie Reynolds,Mcclure Group,2005-10-28,
510336,Kristin Jones,Smith LLC,2011-07-03,2021-05-25
242981,Russell Jenkins,"Gallagher, Taylor and Brown",2009-11-04,2003-08-06
658717,Jeffrey Ware,Cooper Group,2016-02-22,2002-10-22
911456,Vincent King,"Fox, Willis and Griffith",2000-03-14,2015-07-18
342372,Briana Mora,Lane-Hutchinson,2005-06-15,2002-07-04
815449,Julia Ford,Ferguson-Davis,2001-08-23,2014-01-11
253666,Gina Bishop,"Waller, Young and Fisher",2003-03-17,
499422,Virginia Gutierrez,Oneal and Sons,2017-07-28,2020-12-30
592295,Michael Stephens,Adams Ltd,2022-03-30,2013-06-27
519323,Sarah Lynch,Jones and Sons,2018-05-06,
337942,Peter Acevedo,Koch-Moore,2002-10-11,
246742,Cody Sexton,Richard Ltd,2001-06-19,
994870,Michael Perez,"Gonzalez, Golden and Miller",2021-04-01,2015-10-21
860558,Mrs. Beth Reed,Williams-Salas,2019-12-09,2009-11-22
877209,Michael Peters,Chavez LLC,2020-05-02,2016-07-26
816908,Edgar Castillo,Patel-Patton,2001-07-22,2002-08-03
382840,Victoria Miller,Martinez Inc,2005-05-02,
674680,Erin Clark,"Fox, Padilla and Morrow",2004-02-29,2015-04-05
181069,Angela Hale,"Navarro, Stewart and Luna",2013-03-08,
585053,Eric Leonard,"Rhodes, Hughes and Gardner",2020-10-24,
503579,Keith Friedman,Garcia PLC,2012-03-28,2014-12-17
431655,Sandra Rodgers,Jones Inc,2016-11-10,2000-04-11
162399,Linda Murray,"Richards, Luna and Johnson",2022-07-14,
247415,Eric Wood,Young-Kim,2007-04-01,2011-12-20
848190,Mark Harris,"Gray, Myers and Davis",2008-04-27,2000-01-05
790005,Janet Miranda,Perez-Baker,2021-03-01,2020-09-16
158032,Rebecca Smith,"Huynh, Coleman and Miranda",2021-09-18,
170319,Bradley Figueroa,Gay-Stein,2018-09-09,2004-07-30
206910,Dawn Baxter,Thomas-Bridges,2009-02-12,
223878,Michael Davenport,"Monroe, Mitchell and Moore",2011-02-24,
707404,Shawn Smith,Nguyen-Roberts,2012-06-12,2016-08-15
634191,Tanya Arnold,Moon LLC,2021-01-06,
193753,Kayla Sherman,Moore PLC,2013-11-19,2023-02-28
141636,Tiffany Orozco,Hodge-Hamilton,2013-11-28,2004-01-15
518663,Travis Vasquez,Davis-Mccullough,2013-09-19,2017-09-17
336805,Michael Huber,Ramos Group,2020-08-09,
416340,Caitlin Powell,Osborn and Sons,2017-11-21,
216661,Christopher Christensen,Hart PLC,2006-03-04,2023-11-30
458397,Melinda Sharp,"Mercer, Nelson and Meyer",2003-11-22,2020-09-11
350045,Anthony Castaneda,Rivera LLC,2015-01-02,
457895,Courtney Zimmerman,Garcia Inc,2020-12-17,2013-03-25
272954,Valerie Trujillo,Bowen-Jackson,2013-04-21,
612669,Natalie Wilson,Wu and Sons,2017-03-21,
967401,Alyssa Roy,"Kirby, Cook and Cunningham",2022-12-13,
400378,David Simmons,Johnson PLC,2008-05-23,
971890,Terry Lee,Foster-Poole,2004-07-16,2006-11-24
891648,Courtney Cochran,Bryant-Moore,2003-05-22,
256194,Ashley Martinez,White-Robinson,2011-09-17,
566036,John Wilson,Jackson-Madden,2022-07-26,2001-03-09
800526,Ian Young,"Johnson, Cook and Drake",2008-03-08,
454188,Karen Stevenson,Hutchinson Group,2020-10-02,
938134,Renee Snyder,Reese Group,2012-11-02,2002-08-28
561108,Jeffrey Owens,"Harris, Austin and Ho",2001-04-09,2013-06-24
834688,Caitlin Woodard,"Armstrong, Stevens and Brown",2015-03-03,2024-06-15
255767,Nicole Shaw,"Mays, Hart and Macias",2018-02-27,2006-01-23
521171,John Conway,Dean LLC,2000-03-08,2011-04-28
831523,Crystal Henry,"Johnson, Hudson and Bates",2023-07-28,2009-02-13
524191,Shawn Rowe,"Roberts, Sweeney and Smith",2016-08-31,2010-09-01
386605,Christian Roach,"Gibson, Bates and Morgan",2001-05-11,2000-11-10
760327,Katherine Moore,Jones-Gutierrez,2011-01-06,
366409,Mariah Webster,Haas-Whitney,2001-01-19,2023-10-30
234649,Belinda Richardson,Nelson LLC,2008-05-01,
567574,Heather Lewis,Edwards Inc,2011-02-03,
505683,Kevin Smith,"Campos, Allen and Warren",2015-05-03,2022-02-19
101991,Stephanie Hall,Barrett LLC,2021-03-24,
434474,Joshua Fernandez,Bolton-Garcia,2014-10-24,2016-05-04
841408,Brittany Mann,"Mcintyre, Johnson and Cuevas",2014-06-20,2024-08-16
209122,Nicholas Bell,Cooper-Miller,2009-10-14,
649662,Maria King,Norris Ltd,2000-01-17,
767226,Chad Ramos,Murillo-Graves,2003-03-21,2004-05-21
896736,William Wilson,Diaz-Reed,2003-09-18,
546981,William Diaz,Duncan and Sons,2017-09-18,2022-11-03
124642,Crystal Burnett,"Hancock, Jensen and Christian",2012-05-18,2014-05-31
537457,Larry Mcconnell,Wright-Brown,2000-07-25,2022-05-22
402957,Brooke Hicks,Miller-Allen,2012-03-27,2023-01-24
279682,James Lee,Rojas PLC,2008-10-08,
612722,Heidi Lewis,Walker-Long,2023-01-22,2014-09-07
105505,Monica Garcia,Alvarez-Jackson,2006-01-08,
964816,Samantha Bowman,"Flores, Jacobs and Rose",2010-05-15,
210525,Lisa Branch,Jackson-Anderson,2008-05-11,2001-10-10
124622,Kelsey Hull,Brown Inc,2008-09-05,2021-09-25
680937,Michael Levine,Gordon Ltd,2010-03-29,2012-01-01
786342,Jacob Floyd,Pennington-Jackson,2004-02-29,
998146,Kara May,"Price, Montoya and Nelson",2013-12-28,2020-03-13
638941,Victor Bowen,Rodriguez Inc,2013-02-07,
172632,Teresa Nguyen,Shaw Inc,2005-11-01,2009-09-06
881120,Chelsea Bryan,King PLC,2005-02-13,2008-03-06
